127.0.0.1 - - [09/Feb/2022:21:33:59 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Feb/2022:21:34:00 +0900] "GET /ch2/ HTTP/1.1" 200 736
0:0:0:0:0:0:0:1 - - [09/Feb/2022:21:34:00 +0900] "GET /ch2/css/menu.css HTTP/1.1" 200 696
0:0:0:0:0:0:0:1 - - [09/Feb/2022:21:34:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Feb/2022:21:52:51 +0900] "GET /ch2/login/login HTTP/1.1" 200 3100
0:0:0:0:0:0:0:1 - - [09/Feb/2022:22:04:20 +0900] "GET /ch2/login/login HTTP/1.1" 200 3100
0:0:0:0:0:0:0:1 - - [09/Feb/2022:22:04:22 +0900] "GET /ch2/login/login HTTP/1.1" 200 3100
0:0:0:0:0:0:0:1 - - [09/Feb/2022:22:04:23 +0900] "GET /ch2/login/login HTTP/1.1" 200 3100
0:0:0:0:0:0:0:1 - - [09/Feb/2022:22:04:34 +0900] "GET /ch2/register/add HTTP/1.1" 200 3563
0:0:0:0:0:0:0:1 - - [09/Feb/2022:22:04:49 +0900] "POST /ch2/register/save;jsessionid=65025B955EA0A2874C05438564703613 HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [09/Feb/2022:22:04:53 +0900] "POST /ch2/register/save;jsessionid=65025B955EA0A2874C05438564703613 HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [09/Feb/2022:22:13:09 +0900] "POST /ch2/register/save;jsessionid=65025B955EA0A2874C05438564703613 HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [09/Feb/2022:22:13:34 +0900] "POST /ch2/register/save;jsessionid=65025B955EA0A2874C05438564703613 HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [09/Feb/2022:22:14:26 +0900] "POST /ch2/register/save;jsessionid=65025B955EA0A2874C05438564703613 HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [09/Feb/2022:22:16:30 +0900] "POST /ch2/register/save;jsessionid=65025B955EA0A2874C05438564703613 HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [09/Feb/2022:22:28:56 +0900] "GET /ch2/register/add HTTP/1.1" 200 3611
